,Name,Record,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_inch,Stance,Debut,SLpM,StrAcc,SApM,StrDef,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1722,Erick Wanderlei,Record: 3-3-0,3.0,3.0,0.0,185.42225473461758,205.0,,Orthodox,,0.63,0.41,2.66,0.4,3.8,0.66,0.0,1.9
1723,Romie Aram,Record: 7-1-0,7.0,1.0,0.0,177.80216207429083,170.0,,Orthodox,1977.0,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0
1724,Takanori Gomi,Record: 35-14-0 (1 NC),35.0,14.0,0.0,170.1820694139641,155.0,70.0,Southpaw,1978.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8
1725,Anthony Pettis,Record: 24-10-0,24.0,10.0,0.0,177.80216207429083,155.0,72.0,Orthodox,1987.0,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1
1726,Ricky Calatayud,Record: 16-2-0,16.0,2.0,0.0,175.26213118751525,125.0,,,1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1727,Joanne Calderwood,Record: 15-5-0,15.0,5.0,0.0,167.6420385271885,125.0,65.0,Orthodox,1985.0,6.59,0.49,4.4,0.53,1.8,0.55,0.58,0.5
1728,Victor Martinez,Record: 12-4-0,12.0,4.0,0.0,177.80216207429083,155.0,,,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,Kenny Robertson,Record: 15-5-0,15.0,5.0,0.0,177.80216207429083,170.0,74.0,Orthodox,1984.0,3.72,0.47,3.02,0.52,1.37,0.26,0.57,0.8
1730,Sherrard Blackledge,Record: 5-1-0,5.0,1.0,0.0,180.34219296106642,155.0,75.0,Orthodox,1993.0,3.7,0.49,3.13,0.55,4.0,0.33,0.42,0.0
1731,Dominic Clark,Record: 10-7-0,10.0,7.0,0.0,177.80216207429083,155.0,,,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1732,Amir Aliakbari,Record: 10-1-0,10.0,1.0,0.0,190.50231650816875,250.0,,,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733,Mike Richman,Record: 18-7-0,18.0,7.0,0.0,172.72210030073967,135.0,,,1985.0,4.06,0.44,3.49,0.43,0.0,0.0,0.76,0.0
1734,Jeremy Kimball,Record: 15-8-0,15.0,8.0,0.0,182.882223847842,205.0,72.0,Switch,1991.0,2.81,0.46,3.84,0.49,1.41,0.2,0.5,0.0
1735,Ross Ebanez,Record: 20-10-0 (3 NC),20.0,10.0,0.0,175.26213118751525,154.0,,Southpaw,1975.0,0.74,0.5,0.74,0.62,3.7,1.0,0.0,0.0
1736,Dwayne Cason,Record: 1-1-0,1.0,1.0,0.0,177.80216207429083,212.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737,Elizabeth Phillips,Record: 6-6-0,6.0,6.0,0.0,167.6420385271885,135.0,65.0,Orthodox,1986.0,2.6,0.33,3.07,0.58,0.75,0.25,0.53,0.2
1738,Bartosz Fabinski,Record: 15-4-0,15.0,4.0,0.0,182.882223847842,170.0,75.0,Orthodox,1986.0,2.2,0.69,1.35,0.53,7.08,0.69,0.8,0.0
1739,John Doyle,Record: 11-22-0 (1 NC),11.0,22.0,0.0,180.34219296106642,205.0,,Orthodox,1976.0,3.5,0.44,10.51,0.27,0.0,0.0,0.0,0.0
1740,Joe Martin,Record: 6-8-0,6.0,8.0,0.0,175.26213118751525,170.0,,,,0.73,0.4,2.4,0.45,0.0,0.0,0.16,0.0
1741,Kevin Aguilar,Record: 17-4-0,17.0,4.0,0.0,170.1820694139641,155.0,73.0,Orthodox,1988.0,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0
1742,Del Hawkins,Record: 22-17-0,22.0,17.0,0.0,165.10200764041292,135.0,,Orthodox,,1.15,0.27,2.01,0.46,0.0,0.0,0.0,0.0
1743,Pete Williams,Record: 12-6-0,12.0,6.0,0.0,190.50231650816875,235.0,,Orthodox,1975.0,0.61,0.62,2.77,0.4,1.84,0.4,0.16,0.9
1744,Kyle Nelson,Record: 13-4-0,13.0,4.0,0.0,180.34219296106642,155.0,71.0,Switch,1991.0,3.63,0.41,6.82,0.47,0.96,0.12,0.6,1.9
1745,David Kaplan,Record: 3-4-0,3.0,4.0,0.0,170.1820694139641,155.0,,Orthodox,1979.0,2.88,0.46,4.32,0.67,4.88,0.43,0.0,0.7
1746,Hiroko Yamanaka,Record: 13-3-0 (1 NC),13.0,3.0,0.0,180.34219296106642,135.0,,,1978.0,2.1,0.26,3.54,0.63,0.0,0.0,1.0,0.0
1747,Kurt Osiander,Record: 4-1-0,4.0,1.0,0.0,,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748,Christopher Lopez,Record: 9-1-0 (1 NC),9.0,1.0,0.0,177.80216207429083,170.0,,,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1749,Ricardo Abreu,Record: 5-1-0,5.0,1.0,0.0,180.34219296106642,185.0,,Orthodox,1984.0,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7
1750,Marcus Davis,Record: 22-11-0 (1 NC),22.0,11.0,0.0,177.80216207429083,170.0,70.0,Southpaw,1973.0,2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4
1751,Phil Cardella,Record: 8-5-0,8.0,5.0,0.0,180.34219296106642,155.0,,,1976.0,2.47,0.5,2.0,0.57,0.0,0.0,0.11,2.5
1752,Saul Elizondo,Record: 6-8-0,6.0,8.0,0.0,170.1820694139641,135.0,,,1985.0,2.07,0.3,4.93,0.48,2.0,1.0,0.66,1.0
